Crop,N (Nitrogen),P (Phosphorus),K (Potassium),Temperature (°C),Humidity (%),pH,Rainfall (mm),Waste Type
Lentil,2.289001728329705,0.24551854402108594,1.7189526981137089,22.81700536824708,78.45865507735242,5.9,161.8340136699025,Lentil Straw Lentil Hulls
Orange,1.3326664667437498,0.12075625474157484,0.9404040599482213,22.89617806793722,71.54881254159962,6.8,182.10956443131403,Orange Peel Orange Waste
Blackgram,2.294890834456752,0.35099366434072987,1.9819308334485544,24.38197537494033,81.76754562603381,6.3,170.53874970065706,Blackgram Straw Blackgram Waste
Blackgram,2.27402734650788,0.21076931175189023,1.5668494991313224,24.39826482303557,78.58254160771897,6.3,177.76547901355775,Blackgram Straw Blackgram Waste
Mango,1.3872349917085365,0.22645354557602498,1.6341722593788577,26.86991491010291,79.36886651146331,6.3,208.93167995112847,Mango Leaves Mango Seed Husks
Banana,1.4367731445314458,0.15668123783764254,0.9349783732971627,28.87770268057342,77.52056782065631,6.1,181.06921921340626,Banana Leaves Banana Pseudostems
Grapes,1.1982546496168107,0.21342775143856374,0.6300009919727921,24.506550499252622,74.37045175975645,6.7,176.99338918950744,Grapevine Pruning Grapes Skins
Grapes,0.9209293890362938,0.25026235520859086,1.2066924195163748,23.189495378175927,70.20695724337273,7.0,180.5047817859372,Grapevine Pruning Grapes Skins
Papaya,1.9238350298967601,0.20081235121445995,1.1541685382484475,26.07461526185229,79.70511823154767,6.4,221.04451486827372,Papaya Leaves Papaya Fruit Waste
Chickpea,2.4106332033439486,0.36426417716300075,2.2096692145224277,24.9900402293924,71.70990983495128,7.0,216.456389365445,Chickpea Stalks Chickpea Hulls
Banana,1.1791119407542623,0.14650378551522034,1.285904537706365,26.642214982938537,76.73301095675696,6.6,190.79646911363392,Banana Leaves Banana Pseudostems
Soybean,2.141255347321598,0.35060054537007557,1.5805747373397976,25.205068460782023,77.0608396486106,6.1,228.21239116465904,Soybean Stalks Soybean Hulls
Banana,1.3389984125869572,0.27671374081910627,1.0284951802678193,25.514236464386787,79.83825079112135,6.4,190.39200280318636,Banana Leaves Banana Pseudostems
Jute,2.7206980429215992,0.11716955456865774,1.8368236657337027,24.05974371581833,80.87887108530322,6.9,196.35031757883536,Jute Stems Jute Waste
Pomegranate,1.1030506816454348,0.2720782447757667,1.0019549334802185,25.447105020197576,65.59843471403576,7.0,167.47742601879634,Pomegranate Peel Pomegranate Waste
Rice,1.6539446803072149,0.2403568272644569,1.4595487128513995,19.480492034212645,78.75274668959963,6.6,192.34174683668272,Rice Straw Rice Husk
Orange,1.5321628788615576,0.1663360541763911,1.308065946818898,24.44262916985608,73.55940526474447,6.5,168.4271841001106,Orange Peel Orange Waste
Coffee,1.2295870796972757,0.10262416341849903,0.7999205647481025,24.890154721775676,82.60700797657427,6.6,226.862574788255,Coffee Pulp Coffee Husk
Papaya,1.563899030009489,0.37702263679529835,1.759940288640777,24.27519853899208,84.38496557287732,6.7,215.4432729055816,Papaya Leaves Papaya Fruit Waste
Chickpea,2.3162210961222387,0.40391923430386967,1.890269780298435,24.52035219070213,73.20051902876723,6.2,214.29868695652175,Chickpea Stalks Chickpea Hulls
Mango,1.7505203713805773,0.3067684489271001,1.3954387760971456,26.96243639384511,76.0476747654822,6.7,235.83713718226528,Mango Leaves Mango Seed Husks
Orange,1.3487007189225764,0.23169005586427271,0.901880010007083,24.816474897697667,74.03870247476476,6.6,186.95744969545282,Orange Peel Orange Waste
Watermelon,0.8477267171863521,0.3367171256326814,1.3352314639699314,21.30438842825631,87.02282598057964,6.3,191.54374020448913,Watermelon Rinds Watermelon Waste
Papaya,1.5821868147543459,0.20303563762532095,1.7231106220482584,25.605947940224503,84.81318418402893,6.2,232.0383899834316,Papaya Leaves Papaya Fruit Waste
Papaya,1.8505053627226058,0.3479786086058485,1.5211399896643802,27.218924317282557,81.29368793004406,6.7,226.27399850284382,Papaya Leaves Papaya Fruit Waste
Coffee,1.0305070211662628,0.07680506533143555,0.6946070792052347,24.469812911820537,81.28317241599848,6.5,246.84982200646212,Coffee Pulp Coffee Husk
Rice,1.6061408514019455,0.39699798774382167,1.1576498363734498,22.096040770703222,85.70302038884223,6.6,221.42704556643804,Rice Straw Rice Husk
Mango,1.653786046298451,0.3043155453727292,1.2493843694215794,28.616253608273006,84.06571398743066,6.7,201.29600884731053,Mango Leaves Mango Seed Husks
Orange,1.5892131563367486,0.2619978530593694,1.3975769437004861,24.76763760389989,71.3970967959175,6.8,163.6329018806717,Orange Peel Orange Waste
Watermelon,1.2137889207723855,0.2107398786276739,1.1640737405174815,21.66381661773884,88.9032828629747,6.4,223.12446825190943,Watermelon Rinds Watermelon Waste
Pomegranate,1.0827993221086318,0.2865263859995081,1.092744668659825,27.479914393739737,64.98303098635078,7.3,157.86004469403505,Pomegranate Peel Pomegranate Waste
Grapes,1.257476540077155,0.26791561097393324,0.7693331812830582,23.19578373017927,66.31412588699136,6.6,190.95287822380433,Grapevine Pruning Grapes Skins
Mango,1.5656614593610816,0.22549394612005041,1.3200618548136747,27.291027010542116,84.5251409721134,6.6,205.8080693289072,Mango Leaves Mango Seed Husks
Soybean,1.9239326826106853,0.4932111966958745,1.8872258601535548,23.92072302757541,84.46978541849563,6.9,220.42870241367433,Soybean Stalks Soybean Hulls
Jute,2.2017479446803403,0.21238104628294893,1.5125398490579338,21.21064061032569,82.88762981936226,6.7,171.09366528370236,Jute Stems Jute Waste
Grapes,1.4981497817405824,0.12415814364248592,1.1519315408312583,22.506609527923224,74.4287832421889,6.0,184.53748204487607,Grapevine Pruning Grapes Skins
Blackgram,1.7105587218696152,0.2999468796565863,1.8481228252638082,23.387756697285564,76.74498526257975,6.0,174.91384766993886,Blackgram Straw Blackgram Waste
Banana,1.2350528228957578,0.2782265145205963,0.9595931755803369,28.016877358381155,75.54167682039954,6.0,216.58976788911815,Banana Leaves Banana Pseudostems
Grapes,0.9739547152750037,0.22836721646707167,1.288488672315438,23.146176285616434,65.86219322127329,6.0,171.4316142052507,Grapevine Pruning Grapes Skins
Cotton,1.7738134539427999,0.4124685856874951,1.1193016005970682,22.15836556938732,86.26150856397327,6.5,174.33450420357826,Cotton Stalks Cottonseed Hulls
Orange,1.238006947467835,0.26321755090858434,1.2247381432592934,25.695453076461487,69.52219606005671,6.3,170.88969701363138,Orange Peel Orange Waste
Grapes,1.1444169750683986,0.23991392208277848,1.2931057988949342,22.426580130037454,65.3830114369991,6.4,190.77770243360416,Grapevine Pruning Grapes Skins
Banana,1.4545905606229117,0.18133059121392475,1.3567238013049954,27.12302314835855,73.48695576824443,6.5,200.97654735891885,Banana Leaves Banana Pseudostems
Mango,1.500948135949448,0.2727484678079312,1.1370779588394566,27.942678583219326,79.97757910150737,7.1,223.70567406627424,Mango Leaves Mango Seed Husks
Banana,1.3036767284770439,0.21455082815488447,0.8847972390823886,28.729352757734333,70.47148246169928,6.3,206.74083148302435,Banana Leaves Banana Pseudostems
Jute,2.4779883182068247,0.11591451938727,1.9466859670895986,23.58623949067786,78.37222827248372,6.9,174.62169453407796,Jute Stems Jute Waste
Apple,1.0197294084460269,0.16669517055378813,1.1936795197219734,20.109708175188498,63.6243024379094,6.9,165.63988914030875,Apple Waste Apple Leaves
Cotton,2.263422163316099,0.4361617729846805,1.8895524225793399,24.282605561103686,82.47679834170647,5.6,160.58007111691316,Cotton Stalks Cottonseed Hulls
Jute,2.3521056469434765,0.16286827000226545,1.823304401988334,21.551124494487823,81.25877562540586,7.2,164.29753378010858,Jute Stems Jute Waste
Pomegranate,1.3325714894473997,0.15999514786660962,1.2848362032654381,28.426391512659748,68.22745991308456,6.7,159.07393190211175,Pomegranate Peel Pomegranate Waste
Soybean,2.008243874458287,0.39984568976438173,1.988765076973903,23.929448951562268,80.62739157742215,6.4,240.4137332088988,Soybean Stalks Soybean Hulls
Maize,2.0705039026786927,0.16216593249103317,1.7882976270695228,21.26455385958862,81.06583012043055,6.4,218.33074971411565,Corn Stover Corn Cobs Corn Leaves
Papaya,1.937846530740647,0.34902473456482863,1.3865505962695963,25.132637853642166,84.92902489874106,6.4,239.55712308557162,Papaya Leaves Papaya Fruit Waste
Orange,1.5250186808950486,0.13050526264012285,1.0235321365518466,25.597703979056657,73.06108073292827,7.0,197.17827038293962,Orange Peel Orange Waste
Blackgram,1.7970805471597708,0.36751622868823675,1.885426927460088,21.608946973682222,76.92728766145747,6.7,153.6814161200908,Blackgram Straw Blackgram Waste
Orange,1.250767455651933,0.1499443379831656,1.20429379658081,24.428537745416858,69.18555206790757,7.0,177.20688944773056,Orange Peel Orange Waste
Grapes,1.4406833957184,0.11386033077490464,1.0222490069425005,21.164451741560498,71.40197351640069,7.0,176.14799820578568,Grapevine Pruning Grapes Skins
Blackgram,2.278763370801462,0.31032651880369955,2.174358344058544,22.680844655237113,82.8382448631485,6.3,157.94116260890397,Blackgram Straw Blackgram Waste
Soybean,2.434706216498333,0.35293577621156647,1.7516143005350195,26.109531822689423,82.14693892846077,6.9,215.863399382191,Soybean Stalks Soybean Hulls
Cotton,2.202901380520977,0.3969302549920789,1.6898058424589637,23.775304939158353,87.19782908972786,5.8,195.36648318435752,Cotton Stalks Cottonseed Hulls
Wheat,2.313395917175362,0.21944205368706798,1.5783818843951272,22.659018653393613,79.64160694069436,6.4,144.322203662141,Wheat Straw Wheat Chaff
Rice,1.3739253881037432,0.37467598563116733,1.2156880240443257,21.988442397783036,84.7591748084665,6.7,202.43510817291713,Rice Straw Rice Husk
Maize,1.534275564295882,0.27121010570450554,2.1843299474049163,20.196211305211406,84.2335050220609,6.9,213.36259126280456,Corn Stover Corn Cobs Corn Leaves
Banana,1.6360573721672247,0.25859179923266096,1.1554077013611739,28.67622156778914,75.39049415575359,6.6,197.4638507971662,Banana Leaves Banana Pseudostems
Maize,2.065839354758604,0.2548503554451053,1.6423957953569819,23.78938722888541,78.45294968806755,6.8,219.59122460437018,Corn Stover Corn Cobs Corn Leaves
Blackgram,2.2571022036450628,0.2162957129825715,2.1400958800634733,21.045149874662695,79.47269787423065,5.9,149.89119843693626,Blackgram Straw Blackgram Waste
Papaya,1.7483610197165498,0.23223080784828476,1.4261807131115045,24.567576271513307,76.73341990624142,6.9,225.58079381897167,Papaya Leaves Papaya Fruit Waste
Soybean,2.4522727830247413,0.3412751469846999,2.152820740586539,25.705416431448217,81.19562840921833,6.1,210.89477851508352,Soybean Stalks Soybean Hulls
Jute,2.4898625937958965,0.1681635676003514,1.279429774632361,22.360180044788265,83.61788470153645,7.5,167.4764461267462,Jute Stems Jute Waste
Papaya,1.6245154353963476,0.37168291660775354,1.162593784381946,27.294792527764738,78.50733329082054,6.2,200.0109843894879,Papaya Leaves Papaya Fruit Waste
Watermelon,1.2124474805411083,0.3387455642242614,1.5125033272643802,23.035329995955994,83.04543225237911,6.3,203.9616861071808,Watermelon Rinds Watermelon Waste
Coffee,0.8350375527611232,0.0118191171598067,1.1028872510745584,24.350525988627556,82.910813980809,6.1,234.11109982415152,Coffee Pulp Coffee Husk
Apple,1.0464966906718292,0.11192230595622131,0.8139184280748875,20.149481595312807,62.001937875664254,7.3,148.49322517000283,Apple Waste Apple Leaves
Papaya,1.8435110117985465,0.20704051294872894,1.5264095718194868,27.729454560005557,75.3744083804001,6.2,202.07329107351978,Papaya Leaves Papaya Fruit Waste
Jute,2.2482838568151085,0.13473066627850522,1.8270406868692404,21.157513271768632,77.21818958918367,7.4,173.77657682498958,Jute Stems Jute Waste
Watermelon,0.9440340298418164,0.2386620015350616,1.1940727517872516,20.531805455039727,89.13259010666266,6.1,225.24462155128322,Watermelon Rinds Watermelon Waste
Mango,1.6732132578395635,0.20151897509485633,1.31663141331663,26.224204259318665,79.06947999883391,6.3,214.4318505952068,Mango Leaves Mango Seed Husks
Apple,0.7770454245815896,0.19990988352288344,1.275714905905621,18.53955420329991,64.91057043586423,6.6,153.2533003588931,Apple Waste Apple Leaves
Cotton,2.1048731989782845,0.33469341286022286,1.4574445826463673,25.273908051944588,81.51446121315561,6.1,171.5764293112191,Cotton Stalks Cottonseed Hulls
Papaya,1.7595379378341924,0.2865044125347155,1.1475012989456794,27.63803666696475,78.31439428130751,6.8,217.6307076758581,Papaya Leaves Papaya Fruit Waste
Lentil,2.064119032580977,0.39804690245250807,1.7291048221185021,23.00539714300189,77.07368120354211,6.2,160.05213766942737,Lentil Straw Lentil Hulls
Soybean,2.4682160003948703,0.38027105051098203,1.6913011105999851,24.261839097196468,82.08266386793252,6.7,210.15531765613943,Soybean Stalks Soybean Hulls
Orange,1.403443839199253,0.12211227624743833,0.9798458027499506,24.403964336050375,72.09723280474213,7.0,163.84289809725797,Orange Peel Orange Waste
Blackgram,2.2170785788499954,0.2502805785762893,1.6791788016412525,24.62913127883246,78.47135523295162,6.2,152.7156738292322,Blackgram Straw Blackgram Waste
Chickpea,2.2229720437758513,0.3898021699673321,1.6943426850758625,25.837531868602063,72.51709655536673,6.2,193.94645708849984,Chickpea Stalks Chickpea Hulls
Watermelon,0.9079780263083601,0.3149802252516808,1.3955656013503934,22.712118869771693,82.72901493896251,6.3,219.9849359687755,Watermelon Rinds Watermelon Waste
Mango,1.8641256267791515,0.3115603501949594,1.249810355171158,26.67651456278743,82.05109309033898,7.0,213.1720424194397,Mango Leaves Mango Seed Husks
Apple,0.6981863975896279,0.27275677963858025,0.9706113912274593,20.41702385975309,67.45154502161348,7.2,156.34696820896093,Apple Waste Apple Leaves
Blackgram,2.2307485548307335,0.20631712419830722,1.5088208613201595,23.54194145355118,75.05252226767827,6.2,145.7557361385008,Blackgram Straw Blackgram Waste
Coffee,1.077172172367819,0.13123530366522038,0.6617266871985308,23.892462886591822,80.50205629050318,6.1,224.3119006141518,Coffee Pulp Coffee Husk
Mango,1.8579436457234928,0.21265294716757527,1.1843451508206366,29.8730611157716,75.25448231579493,6.5,200.2073286815847,Mango Leaves Mango Seed Husks
Orange,1.1626926055165425,0.25405034209271393,1.472546923699975,24.795993197731132,71.90903252307623,6.6,183.85319435435966,Orange Peel Orange Waste
Wheat,2.0864307988045683,0.27251253420225974,1.9738697067220818,21.832045143369825,73.18117386058532,6.8,148.04208248009667,Wheat Straw Wheat Chaff
Apple,0.73673442872718,0.2268357822095574,1.0444001955252553,18.164873193661954,66.43832568706085,7.1,145.9237632567441,Apple Waste Apple Leaves
Maize,1.6542814552392795,0.2373371698082035,1.8184924952171522,21.800648281049554,81.82950487230349,6.8,194.01852086719646,Corn Stover Corn Cobs Corn Leaves
Watermelon,1.073884497082167,0.2533304534929304,1.6796531317920773,23.68850971381594,80.4063376387209,6.0,225.85654211806207,Watermelon Rinds Watermelon Waste
Banana,1.6417747693914528,0.20607301826174435,1.252445875065003,27.66857741759801,72.23465937091785,6.6,180.64856613818617,Banana Leaves Banana Pseudostems
Papaya,1.9567109020939923,0.3521228887846265,1.744883233398757,27.485112482551834,77.79124098206883,6.7,211.94434153665875,Papaya Leaves Papaya Fruit Waste
Orange,1.5954660898901367,0.13412915839744774,1.5847247251990935,24.797021374849926,68.91035360244827,6.9,179.41420292044745,Orange Peel Orange Waste
Orange,1.6097570303464546,0.1801315882447611,1.5542954531014264,23.89976247826289,71.6155059921509,7.1,176.78487033292703,Orange Peel Orange Waste
Wheat,2.138830810517837,0.33732205641027296,2.085963430071985,22.008707479255406,70.62977078096674,6.8,135.41015622627668,Wheat Straw Wheat Chaff
Pomegranate,1.2871891714439838,0.105538103851694,1.4075384862025113,25.605875639872174,66.7191070183604,6.9,149.06593657484436,Pomegranate Peel Pomegranate Waste
Lentil,1.876106194313083,0.20873283272512916,1.7102457668585034,22.11340871594166,70.27366433185306,6.3,170.68299663755792,Lentil Straw Lentil Hulls
Watermelon,1.1093278616768545,0.3962665850658501,1.3643136819923816,23.48364743955501,83.82494826839985,6.4,222.2908873648944,Watermelon Rinds Watermelon Waste
